scenario,method,outcome,y,coverage,mean_length
1,S-Learner + BB,Y(1),-3.5,0.0,0.0004582806396501837
1,S-Learner + BB,Y(1),-3.13,0.005,0.003912597362650558
1,S-Learner + BB,Y(1),-2.76,0.005,0.021295523159205913
1,S-Learner + BB,Y(1),-2.39,0.42,0.0701594247110188
1,S-Learner + BB,Y(1),-2.03,1.0,0.1307403577119112
1,S-Learner + BB,Y(1),-1.66,1.0,0.15976640433073044
1,S-Learner + BB,Y(1),-1.29,1.0,0.1564543405920267
1,S-Learner + BB,Y(1),-0.92,1.0,0.1472354306280613
1,S-Learner + BB,Y(1),-0.55,1.0,0.14973897606134415
1,S-Learner + BB,Y(1),-0.18,0.835,0.16157507941126822
1,S-Learner + BB,Y(1),0.18,0.96,0.19716140985488892
1,S-Learner + BB,Y(1),0.55,1.0,0.2279073866456747
1,S-Learner + BB,Y(1),0.92,1.0,0.17972633741796018
1,S-Learner + BB,Y(1),1.29,0.995,0.08459776118397713
1,S-Learner + BB,Y(1),1.66,0.11,0.023252450791187585
1,S-Learner + BB,Y(1),2.03,0.0,0.004339611227042042
1,S-Learner + BB,Y(1),2.39,0.0,0.0006525281368521973
1,S-Learner + BB,Y(1),2.76,0.0,9.739308044117933e-05
1,S-Learner + BB,Y(1),3.13,0.0,1.6347865599755096e-05
1,S-Learner + BB,Y(1),3.5,0.0,3.1114657519992763e-06
1,S-Learner + BB,Y(0),-3.5,0.04,0.0012140146756428295
1,S-Learner + BB,Y(0),-3.13,0.995,0.009830956868827343
1,S-Learner + BB,Y(0),-2.76,0.995,0.04774637777358293
1,S-Learner + BB,Y(0),-2.39,1.0,0.12080824878066779
1,S-Learner + BB,Y(0),-2.03,1.0,0.16237925738096237
1,S-Learner + BB,Y(0),-1.66,0.995,0.14794388733804226
1,S-Learner + BB,Y(0),-1.29,0.995,0.11885734021663666
1,S-Learner + BB,Y(0),-0.92,1.0,0.10291823267936706
1,S-Learner + BB,Y(0),-0.55,0.925,0.106382215321064
1,S-Learner + BB,Y(0),-0.18,0.995,0.11989906750619411
1,S-Learner + BB,Y(0),0.18,1.0,0.1314071799069643
1,S-Learner + BB,Y(0),0.55,1.0,0.12347040321677923
1,S-Learner + BB,Y(0),0.92,1.0,0.0892346429079771
1,S-Learner + BB,Y(0),1.29,1.0,0.04762725649401545
1,S-Learner + BB,Y(0),1.66,1.0,0.01876586983911693
1,S-Learner + BB,Y(0),2.03,0.92,0.005932658155215904
1,S-Learner + BB,Y(0),2.39,0.62,0.0015233013278339058
1,S-Learner + BB,Y(0),2.76,0.365,0.0003167485124868108
1,S-Learner + BB,Y(0),3.13,0.25,5.749072877279104e-05
1,S-Learner + BB,Y(0),3.5,0.25,1.0532870915085368e-05
1,S-Learner + Logistic,Y(1),-3.5,0.0,0.00045384965116682
1,S-Learner + Logistic,Y(1),-3.13,0.005,0.003907915615709499
1,S-Learner + Logistic,Y(1),-2.76,0.005,0.02174554510973394
1,S-Learner + Logistic,Y(1),-2.39,0.49,0.07031099362298847
1,S-Learner + Logistic,Y(1),-2.03,1.0,0.13106057234108448
1,S-Learner + Logistic,Y(1),-1.66,1.0,0.15938510984182358
1,S-Learner + Logistic,Y(1),-1.29,1.0,0.15657943345606326
1,S-Learner + Logistic,Y(1),-0.92,0.995,0.14723180696368218
1,S-Learner + Logistic,Y(1),-0.55,1.0,0.15055207073688506
1,S-Learner + Logistic,Y(1),-0.18,0.9,0.16190510511398315
1,S-Learner + Logistic,Y(1),0.18,0.985,0.19696537472307682
1,S-Learner + Logistic,Y(1),0.55,1.0,0.22559152476489544
1,S-Learner + Logistic,Y(1),0.92,1.0,0.18103617794811724
1,S-Learner + Logistic,Y(1),1.29,0.995,0.08540478827431798
1,S-Learner + Logistic,Y(1),1.66,0.1,0.024274480063468218
1,S-Learner + Logistic,Y(1),2.03,0.0,0.004579023570404388
1,S-Learner + Logistic,Y(1),2.39,0.0,0.0007004525975935394
1,S-Learner + Logistic,Y(1),2.76,0.0,0.00010349506868806202
1,S-Learner + Logistic,Y(1),3.13,0.0,1.7300271049407457e-05
1,S-Learner + Logistic,Y(1),3.5,0.0,3.2878123406021587e-06
1,S-Learner + Logistic,Y(0),-3.5,0.035,0.00119189922203077
1,S-Learner + Logistic,Y(0),-3.13,0.995,0.009599426297936588
1,S-Learner + Logistic,Y(0),-2.76,0.995,0.04767103087157011
1,S-Learner + Logistic,Y(0),-2.39,1.0,0.12073211133480072
1,S-Learner + Logistic,Y(0),-2.03,1.0,0.16207187876105308
1,S-Learner + Logistic,Y(0),-1.66,1.0,0.14737728990614415
1,S-Learner + Logistic,Y(0),-1.29,0.995,0.11943076863884926
1,S-Learner + Logistic,Y(0),-0.92,1.0,0.10305201634764671
1,S-Learner + Logistic,Y(0),-0.55,0.895,0.10663866609334946
1,S-Learner + Logistic,Y(0),-0.18,0.995,0.12034357495605946
1,S-Learner + Logistic,Y(0),0.18,1.0,0.1318193008005619
1,S-Learner + Logistic,Y(0),0.55,1.0,0.1229123143479228
1,S-Learner + Logistic,Y(0),0.92,1.0,0.08991550019010902
